GlobalTimeMS,LocalTimeMS,realTimePosi_um,realTimeTorque_1000p
146,6118,8775055,
147,6119,8775055,
156,6120,8775055,
157,6121,8775055,
157,6122,8775055,
157,6122,8775055,
158,6123,8775055,
162,6124,8775055,
162,6126,8775055,
163,6127,8775055,
172,6128,8775055,
173,6129,8775055,
172,6130,8775055,
172,6130,8775055,
173,6131,8775055,
177,6132,8775055,
176,6133,8775055,
177,6134,8775055,
177,6134,8775055,
181,6135,8775055,
182,6137,8775055,
192,6139,8775055,
192,6139,8775055,
193,6140,8775055,
192,6141,8775055,
196,6142,8775055,
197,6143,8775056,
197,6143,8775055,
201,6144,8775055,
202,6145,8775055,
202,6145,8775055,
201,6146,8775055,
202,6147,8775055,
202,6147,8775055,
206,6148,8775055,
207,6149,8775056,
211,6150,8775055,
212,6151,8775055,
212,6152,8775055,
213,6153,8775055,
216,6154,8775055,
217,6155,8775055,
217,6155,8775055,
216,6156,8775055,
217,6157,8775055,
217,6157,8775055,
221,6158,8775055,
222,6159,8775055,
222,6159,8775055,
221,6160,8775055,
222,6161,8775055,
222,6161,8775055,
226,6162,8775055,
227,6163,8775055,
227,6163,8775055,
226,6164,8775055,
227,6165,8775055,
231,6166,8775055,
232,6167,8775055,
232,6167,8775055,
231,6168,8775055,
232,6169,8775055,
232,6169,8775055,
236,6170,8775055,
237,6172,8775055,
237,6172,8775055,
238,6173,8775055,
242,6174,8775055,
242,6174,8775055,
243,6175,8775055,
242,6176,8775055,
242,6176,8775055,
243,6177,8775055,
252,6178,8775055,
252,6178,8775055,
253,6179,8775055,
252,6180,8775055,
1757454528,0,1757454528,
253,6181,8775055,
257,6182,8775055,
257,6182,8775055,
258,6183,8775055,
257,6184,8775055,
257,6184,8775055,
258,6185,8775055,
267,6186,8775055,
267,6186,8775055,
268,6187,8775055,
267,6188,8775055,
272,6190,8775055,
271,6191,8775056,
272,6192,8775055,
272,6192,8775055,
281,6193,8775055,
282,6194,8775055,
282,6195,8775055,
283,6196,8775055,
287,6197,8775055,
288,6198,8775055,
287,6199,8775055,
291,6200,8775055,
292,6201,8775055,
292,6201,8775055,
301,6202,8775055,
302,6203,8775055,
302,6203,8775055,
301,6204,8775055,
302,6205,8775055,
307,6206,8775055,
307,6206,8775055,
308,6207,8775055,
307,6208,8775055,
307,6208,8775055,
308,6209,8775055,
317,6210,8775055,
317,6210,8775055,
317,6212,8775055,
317,6212,8775055,
321,6213,8775055,
322,6214,8775055,
322,6215,8775055,
322,6215,8775055,
327,6217,8775055,
327,6217,8775056,
328,6218,8775055,
327,6219,8775055,
327,6219,8775055,
337,6221,8775055,
337,6221,8775055,
338,6222,8775055,
342,6223,8775055,
342,6223,8775055,
343,6224,8775055,
342,6225,8775055,
342,6225,8775055,
343,6226,8775055,
347,6227,8775055,
347,6227,8775055,
348,6228,8775055,
347,6229,8775056,
351,6230,8775055,
352,6231,8775055,
356,6232,8775055,
357,6233,8775055,
357,6233,8775055,
356,6234,8775055,
357,6235,8775055,
357,6235,8775055,
362,6237,8775055,
362,6238,8775055,
366,6239,8775055,
367,6240,8775055,
366,6241,8775055,
367,6242,8775055,
367,6242,8775055,
376,6243,8775055,
376,6245,8775055,
377,6246,8775055,
377,6246,8775056,
381,6247,8775055,
382,6248,8775055,
381,6249,8775055,
382,6250,8775055,
387,6251,8775055,
388,6252,8775055,
386,6253,8775055,
387,6254,8775055,
387,6254,8775055,
396,6255,8775055,
397,6256,8775055,
397,6257,8775055,
397,6257,8775055,
398,6258,8775055,
402,6259,8775055,
402,6259,8775055,
403,6260,8775055,
402,6261,8775055,
403,6262,8775055,
1757454528,0,1757454528,
412,6263,8775055,
412,6263,8775055,
413,6264,8775055,
412,6265,8775055,
413,6266,8775055,
417,6267,8775055,
417,6267,8775055,
418,6268,8775055,
417,6269,8775055,
426,6270,8775055,
427,6271,8775055,
